ItemName,ItemCode,Quantity
Open Shelves UNIT of 3 shelves,F01244,230
Book Trolly,F01245,0
Key Holding Board,F01246,23
Wooden Office Chair,F01248,24
Optimizer Storage Unit,F01249,2
Fire Resistant Storage Cabinet,F01250,1
Spectrometrer Case,F01251,1
S.S. Table With Glass Top,F01252,1
Drawing Table,F01253,45
Steel Luggage Trolly,F01254,2
Ladder 9 Steps,F01255,1
Bed Side Table With Locker,F01256,4
Wheel Chair folding,F01257,1
Lab Instrument Table,F01258,10
Letter Box,F01259,4
Shoe rack,F01260,1
Wooden Mandir,F01261,1
Wooden corner,F01262,1
Security Cabin,F01263,3
6 Feet aluminium ladder,F01264,1
Student Bench 3 Seater,F01265,66
Student Bench 2 Seater,F01266,42
Printer Table,F01267,2
Medicine Rack,F01268,3
Base Storage Unit,F01269,24
Student Bed (Modular),F01270,201
Student Table (Modular),F01271,201
Overhead Cabinet (Modular),F01272,201
Student Cupboard (Modular),F01273,51
SW Merit Manager Suite,F01274,2
Books Display shelf,F01275,1
Dust Bin Cages,F01276,0
Wheel Chair,F01277,2
Pedestal Unit,F01278,5
Prematics Table,F01279,1
Display Table (Round Table),F01280,1
Bed Study Table,F01281,155
Step Stool (Wooden),F01282,2
Steel Sofa (3 seater),F01283,40
TMC 501/136 HF with lamp,F05002,1955
TCS 306/136 HF Complete with lamp,F05005,521
Mirolta Fitting Lamp,F05012,867
T5 18 wt,F05013,1271
T5 28 wt,F05014,1326
LED Tubelight 2 ft.,F05015,4
LED Tubelight 4 ft.,F05016,9
Air Curtain,F05018,10
Land,L01001,0
Fax Machine Panasonic KXFP-70I,Q01001,2
Fax Machine Panasonic KX-FM89,Q01002,0
Fax Machine Canon,Q01003,0
EPABX System,Q02001,3
RO System 25 LTR,Q03005,14
RO System 15 LTR,Q03006,96
RO System 50 LTR,Q03007,6
RO System 250 LTR,Q03008,14
Digital Key Telphone,Q04004,5
Key Telephone,Q04005,277
Coin Box telephone,Q04006,3
Voice Conferencing Device Polycom,Q04007,1
Wireless Set,Q04008,7
Cordless Telephone,Q04009,6
Digital Phone Call Recorder Landline,Q04010,1
IP Telephone 8058S / Premium Deskphone WW,Q04011,5
IP Telephone 8018 / Deskphone ,Q04012,117
Sony CTV DVD Player,Q05001,2
Samsung Blu Ray Player,Q05002,1
Digital Camera,Q06001,4
Camera-Tangberg,Q06002,2
Video Camera,Q06003,2
Camcorder,Q06004,2
Group Conference Camera/ PTZ CAMERA,Q06005,2
CO2 Cylinder 4.5 kg,Q07001,64
Water CO2 Cylinder 9 Ltr,Q07003,35
Dry Chemical Cylinders 5kgs,Q07004,252
Foam Type Cylinder,Q07005,3
Water CO 2 Cylinder 9 kgs ,Q07006,3
Dry Powder 2 Kgs,Q07007,25
Fire Alarm Control Panel,Q07008,0
Function Generator -SM5070,Q08001,16
16 Channel Ato B Converter Module,Q08002,5
Function Generator ST-4062,Q08003,15
ADC/DAC interface,Q08005,0
Amplifier for wave driver,Q08011,7
Aplab 2Mhz Digital 4 in 1,Q08012,2
Balance LGN,Q08013,4
Color Mike Studio Master,Q08027,0
Constant current power supply,Q08032,6
Digital L.C.R.Q Bridge Model,Q08038,0
DLP Projector,Q08042,5
Dual D to A Converter Module ,Q08044,5
Dual Trace C.R.O.,Q08045,0
Electromagnet,Q08047,7
Electromagnet (Pole pieces 50mm),Q08048,0
Electromagnetic field,Q08049,0
Function Generator -415,Q08053,16
Gaussmeter,Q08054,12
Function Generator -SM5078,Q08055,42
Gyroscope 3 axis,Q08057 ,4
Hall effect set up,Q08058,8
Hall Probe with a small oven,Q08060,4
"Laser He-Ne, 2.0 mW, 220 v AC",Q08069,12
LCD Projector,Q08071,1
Mercury lamp with holder,Q08076,4
Micro Processor Trainer,Q08080,15
Multiple DC Power Supply,Q08083,23
MWO Solo with starter kit,Q08084,0
Power Supply cabinet,Q08088,0
Optical Profile Bench,Q08089,8
Osciloscope Model:HM203M,Q08091,0
Pair of Helmholtz Coil,Q08092,7
Power supply 0-15 V 5A,Q08098,4
Power Supply Comp Heat Kit,Q08099,0
Power supply dual 0-15 V SA,Q08100,4
Power supply for mercury lamps,Q08101,4
PV Portable VF OHP EPS,Q08104,1
Power Supply Regutator,Q08105,0
CRO HM 203M,Q08110,71
Function Generator H5030-4,Q08111,15
Scientific LCRQ Meter,Q08112,3
Sientech CRO Demonstrator,Q08116,1
"Signal Generator  ,",Q08117,0
Simple Programeble interface with power supply,Q08119,5
SLIDE mount for OPTICAL profile bench,Q08120,0
Sodium lamp,Q08124,8
Sodium lamp power supply,Q08125,8
Spectrometer/Goruometer,Q08130,14
Stepper Motor Interface Module,Q08134,5
Swinging arm (Electromagnatic Induction),Q08138,7
TDS1002,Q08140,15
Traffice light experimental interface,Q08142,5
Tripod Base,Q08144,24
VPL Universal IC Tester,Q08148,3
Wave Driver,Q08149,7
Wheatstone bridge,Q08151,10
Physical Quantity Measurement System,Q08152,1
Liquid Nitrogen Storage Tank,Q08153,1
Thin Film Disposition Unit,Q08154,1
Digital Hot Air Oven,Q08155,2
Rotary Pump,Q08156,1
Power Supply For Electromagnet,Q08157,1
Burelt Stand,Q08158,1
Palneet Machine,Q08159,1
Planetary Ball Mill,Q08160,1
Muffle Furnace,Q08161,3
Tube Furnace,Q08162,1
Magnetic Stirrer With Hot Plate,Q08163,7
Ultrasonic,Q08164,2
Heating Mantle,Q08165,2
Tablet Making Machine166,Q08166,1
High Temperature Furnace,Q08167,1
Power Supply of High Temperature Furnace,Q08168,1
Spin Coating Unit,Q08169,2
Centrigue Machine,Q08170,3
Function Generator SM5062,Q08171,6
Vector Network Analyser,Q08172,1
RF Kit,Q08173,1
Spectrum Analyser,Q08174,1
Klystron Power Supply,Q08175,11
Gunn Power Supply,Q08176,10
Radiation Pattern,Q08177,6
VSWR Meter,Q08178,10
Frequency Meter CD-1/ Digital Frequency Meter,Q08179,16
Spectrum FGPA,Q08180,6
Fuel Cell Trainer,Q08181,1
Cobra3 Phyve Basic Unit,Q08182,1
Newton Ring Apparatus,Q08183,7
Thomson Method NV 6103,Q08184,7
Malus Law Apparetus NV 6023,Q08185,1
Pulse Generator 3MHz ,Q08186,45
Thomson Osilscope (bean sourse),Q08187,0
Planck'S Constant Measurment using photo vaccum tube NV 6024,Q08188,3
Vendicraft Generator,Q08189,1
Magnitizm Lab,Q08190,1
Bend Gap Measurement NV 6105,Q08191,13
Fibre Optics Trainer,Q08192,1
Power Supply Of Distillation Plant,Q08193,1
Plant Holding Stand,Q08194,1
Solar Cell System,Q08195,2
Power Supply Of Muffle Furnance,Q08196,1
Digital Sourcemeter,Q08197,2
Single Dip Coater,Q08198,1
Dual Power Supply 30V-3A,Q08199,15
Ossiloscope-DSO (CRO),Q08200,128
Function Generator-33210A,Q08201,1
Scientific Pure Generator SM 5035,Q08202,8
Optix Instrument,Q08203,0
Digital Weighing balance,Q08204,1
Milikan Oil Drop Apparatus,Q08205,1
Soldering Desoldering Station,Q08206,4
Spectrophotometrer,Q08207,2
Optical Fiber Trainer,Q08208,6
Telescope,Q08209,1
Lux Meter,Q08210,1
Embedded Control Platform,Q08211,0
Sirio SD 1300N 25MHz - 1.3 Ghz Discone Wide Band Antenna,Q08212,0
Solar Power Meter,Q08213,2
Ambros Sectional Working Model Two Stroke Petrol Engine,Q08214,1
Ambros Sectional Working Model Four Stroke Petrol Engine,Q08215,2
Ambros Sectional Working Model Two Stroke Diesel Engine,Q08216,1
Cut Section of AC Machines,Q08217,0
Cut Section of DC Machines,Q08218,0
Ambros Sectional Working Model Four Stroke Diesel Engine,Q08219,1
Autoclave With Teflon Lining (Hydrothermal Bomb 100cc),Q08220,1
Metal Cut Off Grinder ,Q08330 ,1
Oven,Q08331 ,1
Infrared Thermometer,Q08332 ,1
Height Gauge ,Q08333 ,1
"slip Gauge Set of 83 pcs, Grade - II with individual pcs certificate",Q08334 ,1
Universal Beval Protractor,Q08335 ,1
Hand Bellows,Q08336 ,1
3D Printer,Q08337 ,2
Anvil 50kg. M.S.,Q08338 ,1
Shearing machine (Hand LeverType),Q08339 ,1
Pin on Disc Wear Testing Machine,Q08340,1
Single Module System ,Q08341,1
Anemometer,Q08342,2
Segger,Q08343,10
Magnifier with Light,Q08344,0
CNC Vertical Machine Center/ CNC routing and Millng Machine,Q08345,2
Micheison Interferometer Appratus ,Q08346,2
Zeeman Effect Experiment,Q08347,2
Desktop Housing,Q08348,1
FlexECU,Q08349,1
Easyport Training Kit,Q08350,2
GM Counter,Q08351,2
Lissajous Figure,Q08352,2
Frank Hertz Experiment,Q08353,2
Electron Spin Resonance Spectrometer ,Q08354,2
Magnetic Hysteresis Loop Tracer,Q08355,2
Bi-Prism Experiement,Q08356,2
Microwave Training Kit ,Q08357,2
Avogardro's Number Set-up,Q08358,2
Specific Heat Measurement of Solids,Q08359,2
Stroboscope,Q08360,2
Faradey Effect Experiment,Q08361,2
Modular Production System- Distributing Station,Q08362,1
Plasma Cutting Machine,Q08363,1
Redwood Oil Viscometer ,Q08364,1
Vapour Absorption Refrigeration Test Rig,Q08365,1
Pycnometer,Q08366,1
Rooling Table with SMC Training Kit,Q08416,1
Vector Signal Generator,Q08417,1
Drop & Film wise Condensation Appratus (Condensation in Drop Wise Film Wise Forms with mini steam boiler & pressure release valve),Q08418,1
Two phase Heat Transfer Appratus (Boiling Heat Transfer Unit),Q08419,1
Koruza Pro Bridge 1Gbps Link,Q08420,1
Solar Cooker (Parabolic -Scheffler),Q08421,1
Electric Discharge Machine,Q08422,1
Chinning & Dipping,Q09006,1
Cross Pully,Q09007,1
